node1	node2
Rv0417	Rv3596c
Rv0422c	Rv0440
Rv0422c	Rv3417c
Rv0425c	Rv0853c
Rv0425c	Rv1659
Rv0425c	Rv2217
Rv0425c	Rv2643
Rv0425c	Rv2971
Rv0427c	Rv0462
Rv0427c	Rv0794c
Rv0427c	Rv2215
Rv0427c	Rv2241
Rv0427c	Rv2495c
Rv0427c	Rv2713
Rv0427c	Rv2855
Rv0427c	Rv3303c
Rv0435c	Rv0462
Rv0435c	Rv0683
Rv0435c	Rv0702
Rv0435c	Rv0728c
Rv0435c	Rv1104
Rv0435c	Rv1640c
Rv0435c	Rv1699
Rv0435c	Rv2045c
Rv0435c	Rv2115c
Rv0435c	Rv2176
Rv0435c	Rv2357c
Rv0435c	Rv2373c
Rv0435c	Rv2538c
Rv0435c	Rv2713
Rv0435c	Rv2855
Rv0435c	Rv2996c
Rv0435c	Rv3227
Rv0435c	Rv3303c
Rv0435c	Rv3598c
Rv0435c	Rv3610c
Rv0438c	Rv0994
Rv0438c	Rv1161
Rv0438c	Rv1736c
Rv0438c	Rv3010c
Rv0440	Rv0462
Rv0440	Rv0629c
Rv0440	Rv0639
Rv0440	Rv0655
Rv0440	Rv0667
Rv0440	Rv0672
Rv0440	Rv0685
Rv0440	Rv0728c
Rv0440	Rv0794c
Rv0440	Rv0815c
Rv0440	Rv0820
Rv0440	Rv0869c
Rv0440	Rv0933
Rv0440	Rv0986
Rv0440	Rv1014c
Rv0440	Rv1021
Rv0440	Rv1023
Rv0440	Rv1110
Rv0440	Rv1133c
Rv0440	Rv1161
Rv0440	Rv1238
Rv0440	Rv1281c
Rv0440	Rv1316c
Rv0440	Rv1349
Rv0440	Rv1380
Rv0440	Rv1409
Rv0440	Rv1421
Rv0440	Rv1436
Rv0440	Rv1569
Rv0440	Rv1640c
Rv0440	Rv1649
Rv0440	Rv1736c
Rv0440	Rv1747
Rv0440	Rv1820
Rv0440	Rv1859
Rv0440	Rv1985c
Rv0440	Rv2038c
Rv0440	Rv2139
Rv0440	Rv2218
Rv0440	Rv2241
Rv0440	Rv2291
Rv0440	Rv2299c
Rv0440	Rv2397c
Rv0440	Rv2457c
Rv0440	Rv2460c
Rv0440	Rv2461c
Rv0440	Rv2467
Rv0440	Rv2497c
Rv0440	Rv2522c
Rv0440	Rv2559c
Rv0440	Rv2564
Rv0440	Rv2592c
Rv0440	Rv2713
Rv0440	Rv2737c
Rv0440	Rv2832c
Rv0440	Rv2841c
Rv0440	Rv2855
Rv0440	Rv2861c
Rv0440	Rv2883c
Rv0440	Rv2890c
Rv0440	Rv2996c
Rv0440	Rv3003c
Rv0440	Rv3080c
Rv0440	Rv3102c
Rv0440	Rv3109
Rv0440	Rv3117
Rv0440	Rv3148
Rv0440	Rv3303c
Rv0440	Rv3309c
Rv0440	Rv3382c
Rv0440	Rv3417c
Rv0440	Rv3432c
Rv0440	Rv3457c
Rv0440	Rv3465
Rv0440	Rv3470c
Rv0440	Rv3596c
Rv0440	Rv3598c
Rv0440	Rv3628
Rv0440	Rv3663c
Rv0440	Rv3758c
Rv0440	Rv3797
Rv0440	Rv3809c
Rv0447c	Rv0655
Rv0447c	Rv0820
Rv0447c	Rv0933
Rv0447c	Rv2397c
Rv0458	Rv0753c
Rv0458	Rv0768
Rv0458	Rv1187
Rv0458	Rv1416
Rv0458	Rv1473
Rv0458	Rv1668c
Rv0458	Rv1731
Rv0458	Rv2462c
Rv0458	Rv2477c
Rv0458	Rv2583c
Rv0458	Rv2858c
Rv0458	Rv3293
Rv0462	Rv0468
Rv0462	Rv0558
Rv0462	Rv0629c
Rv0462	Rv0630c
Rv0462	Rv0769
Rv0462	Rv0844c
Rv0462	Rv0859
Rv0462	Rv0860
Rv0462	Rv0933
Rv0462	Rv0949
